D & B Used Cars|111 Old Benbrook Rd|817-555-5555
10112|1993|Ford|Explorer|SUV|Red|525123|995.00
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.00
44901|2012|Honda|Civic|SUV|Gray|103221|6995.00
58291|2015|Toyota|Camry|car|White|85700|10495.00
62984|2018|Chevrolet|Equinox|SUV|Black|45320|13995.00
71320|2010|Nissan|Frontier|truck|Blue|126000|8995.00
82143|2020|Kia|Soul|car|Green|30500|12450.00
93417|2014|Jeep|Grand Cherokee|SUV|Silver|97300|15875.00
70532|2016|Ram|1500|truck|Red|88200|17250.00
84621|2019|Subaru|Outback|SUV|Blue|49700|20995.00
30219|2011|Volkswagen|Jetta|car|Gray|114000|6950.00
